Country|Total_cases|Active_cases|Total_Deaths|Total_Recovered|Total_Tests|Death/million|Tests/million|New_Case|New_death|New_Recovered|Continent
MS Zaandam |9 |0 |2 |7 |-|-|-|-|-|-|-
Western Sahara |10 |0 |1 |9 |-|2 |-|-|-|-|Africa 
Vatican City |29 |0 |-|29 |-|-|-|-|-|-|Europe 
Tokelau |80 |80 |-|-|-|-|-|-|-|-|Australia/Oceania 
Diamond Princess |712 |0 |13 |699 |-|-|-|-|-|-|-
Niue |1,059 |3 |-|1,056 |-|-|-|-|-|-|Australia/Oceania 
Montserrat |1,403 |19 |8 |1,376 |17,762 |1,611 |3,577,442 |-|-|-|North America 
Falkland Islands |1,930 |0 |-|1,930 |8,632 |-|2,439,107 |-|-|-|South America 
Saint Helena |2,166 |2,164 |-|2 |-|-|-|-|-|-|Africa 
Tuvalu |2,943 |N/A |1 |N/A |-|83 |-|-|-|N/A |Australia/Oceania 
Saint Pierre Miquelon |3,452 |1,001 |2 |2,449 |25,400 |347 |4,410,488 |-|-|-|North America 
Wallis and Futuna |3,550 |3,104 |8 |438 |20,508 |728 |1,867,419 |-|-|-|Australia/Oceania 
Anguilla |3,904 |N/A |12 |N/A |51,382 |788 |3,373,736 |-|-|N/A |North America 
Kiribati |5,085 |2,358 |24 |2,703 |-|194 |-|-|-|-|Australia/Oceania 
Nauru |5,393 |45 |1 |5,347 |20,509 |92 |1,881,042 |-|-|-|Australia/Oceania 
St Barth |5,507 |N/A |6 |N/A |78,646 |603 |7,908,095 |-|-|N/A |North America 
Palau |6,279 |1 |10 |6,268 |71,280 |548 |3,909,395 |-|-|-|Australia/Oceania 
Saint Kitts and Nevis |6,607 |0 |48 |6,559 |126,958 |891 |2,356,704 |-|-|-|North America 
Turks and Caicos |6,749 |26 |40 |6,683 |616,698 |1,007 |15,517,929 |-|-|-|North America 
Sao Tome and Principe |6,752 |1 |80 |6,671 |29,600 |351 |130,008 |-|-|-|Africa 
Cook Islands |7,203 |51 |2 |7,150 |19,690 |114 |1,120,596 |-|-|-|Australia/Oceania 
British Virgin Islands |7,392 |N/A |64 |N/A |107,339 |2,092 |3,508,269 |-|-|N/A |North America 
Chad |7,701 |2,633 |194 |4,874 |191,341 |11 |10,988 |-|-|-|Africa 
Sierra Leone |7,779 |N/A |126 |N/A |259,958 |15 |31,296 |-|-|N/A |Africa 
Liberia |8,090 |12 |295 |7,783 |139,824 |56 |26,356 |-|-|-|Africa 
Antigua and Barbuda |9,106 |6 |146 |8,954 |18,901 |1,467 |189,943 |-|-|-|North America 
Comoros |9,109 |9 |161 |8,939 |-|177 |-|-|-|-|Africa 
Guinea-Bissau |9,614 |508 |177 |8,929 |145,231 |86 |70,385 |-|-|-|Africa 
St Vincent Grenadines |9,674 |57 |124 |9,493 |114,197 |1,112 |1,023,720 |-|-|-|North America 
Niger |9,931 |729 |312 |8,890 |254,538 |12 |9,759 |-|-|-|Africa 
Eritrea |10,189 |0 |103 |10,086 |23,693 |28 |6,470 |-|-|-|Africa 
Sint Maarten |11,051 |54 |92 |10,905 |62,056 |2,093 |1,411,454 |-|-|-|North America 
Caribbean Netherlands |11,682 |1,168 |38 |10,476 |30,126 |1,426 |1,130,559 |-|-|-|North America 
Yemen |11,945 |662 |2,159 |9,124 |329,592 |69 |10,579 |-|-|-|Asia 
Greenland |11,971 |9,189 |21 |2,761 |164,926 |369 |2,894,810 |-|-|-|North America 
Vanuatu |12,019 |29 |14 |11,976 |24,976 |44 |77,606 |-|-|-|Australia/Oceania 
Saint Martin |12,324 |N/A |63 |N/A |112,382 |1,586 |2,828,643 |-|-|N/A |North America 
Gambia |12,626 |65 |372 |12,189 |155,686 |145 |60,851 |-|-|-|Africa 
CAR |15,440 |127 |113 |15,200 |81,294 |23 |16,205 |-|-|-|Africa 
Djibouti |15,690 |74 |189 |15,427 |305,941 |186 |301,094 |-|-|-|Africa 
Dominica |16,038 |0 |74 |15,964 |229,344 |1,023 |3,170,187 |-|-|-|North America 
Marshall Islands |16,138 |0 |17 |16,121 |-|283 |-|-|-|-|Australia/Oceania 
Tonga |16,950 |1,299 |13 |15,638 |535,009 |121 |4,965,327 |-|-|-|Australia/Oceania 
Samoa |17,006 |15,370 |31 |1,605 |187,397 |153 |926,612 |-|-|-|Australia/Oceania 
Monaco |17,181 |N/A |67 |N/A |78,646 |1,684 |1,976,875 |-|-|N/A |Europe 
Equatorial Guinea |17,229 |139 |183 |16,907 |365,697 |122 |244,342 |-|-|-|Africa 
Tajikistan |17,786 |397 |125 |17,264 |-|13 |-|-|-|-|Asia 
Nicaragua |18,491 |14,041 |225 |4,225 |-|33 |-|-|-|-|North America 
South Sudan |18,819 |557 |147 |18,115 |410,280 |13 |35,313 |-|-|-|Africa 
Bermuda |18,860 |10 |165 |18,685 |1,029,558 |2,664 |16,622,128 |-|-|-|North America 
Grenada |19,693 |97 |238 |19,358 |182,981 |2,097 |1,612,523 |-|-|-|North America 
Gibraltar |20,550 |N/A |113 |N/A |534,283 |3,353 |15,852,213 |-|-|N/A |Europe 
Liechtenstein |21,573 |N/A |94 |N/A |112,457 |2,449 |2,929,559 |-|-|N/A |Europe 
Burkina Faso |22,109 |113 |400 |21,596 |248,995 |18 |11,265 |-|-|-|Africa 
Timor-Leste |23,460 |220 |138 |23,102 |278,529 |101 |203,391 |-|-|-|Asia 
Macao |23,803 |20,193 |123 |3,487 |7,850 |184 |11,760 |-|-|-|Asia 
Congo |25,375 |983 |386 |24,006 |347,815 |67 |59,991 |-|-|-|Africa 
Solomon Islands |25,954 |N/A |199 |N/A |-|276 |-|-|-|N/A |Australia/Oceania 
San Marino |26,185 |46 |128 |26,011 |196,855 |3,755 |5,775,414 |-|-|-|Europe 
Micronesia |26,547 |N/A |65 |N/A |82,430 |553 |701,598 |-|-|N/A |Australia/Oceania 
Somalia |27,334 |12,791 |1,361 |13,182 |400,466 |81 |23,778 |-|-|-|Africa 
Benin |28,036 |26 |163 |27,847 |604,310 |13 |47,268 |-|-|-|Africa 
Saint Lucia |30,215 |0 |410 |29,805 |210,983 |2,215 |1,139,752 |-|-|-|North America 
Cayman Islands |31,472 |22,882 |37 |8,553 |222,773 |550 |3,311,280 |-|-|-|North America 
Mali |33,164 |89 |743 |32,332 |804,909 |35 |37,483 |-|-|-|Africa 
Faeroe Islands |34,658 |N/A |28 |N/A |778,000 |569 |15,802,409 |-|-|N/A |Europe 
Haiti |34,667 |73 |860 |33,734 |132,422 |74 |11,337 |-|-|-|North America 
Lesotho |36,138 |9,435 |723 |25,980 |431,221 |332 |198,199 |-|-|-|Africa 
Isle of Man |38,008 |N/A |116 |N/A |150,753 |1,353 |1,758,422 |-|-|N/A |Europe 
Bahamas |38,084 |874 |844 |36,366 |257,839 |2,107 |643,767 |-|-|-|North America 
Guinea |38,572 |347 |468 |37,757 |660,107 |34 |47,607 |-|-|-|Africa 
Togo |39,569 |2 |290 |39,277 |815,088 |33 |93,895 |-|-|-|Africa 
Mayotte |42,027 |N/A |188 |N/A |176,919 |657 |618,038 |-|-|N/A |Africa 
Mauritius |43,025 |696 |1,051 |41,278 |358,675 |824 |281,374 |-|-|-|Africa 
Tanzania |43,223 |N/A |846 |N/A |-|13 |-|-|-|N/A |Africa 
Aruba |44,224 |1,494 |292 |42,438 |177,885 |2,714 |1,653,068 |-|-|-|North America 
Cura&ccedil ao |45,986 |971 |295 |44,720 |496,693 |1,782 |3,000,640 |-|-|-|North America 
Papua New Guinea |46,864 |26 |670 |46,168 |249,149 |72 |26,813 |-|-|-|Australia/Oceania 
Andorra |48,015 |N/A |165 |N/A |249,838 |2,130 |3,225,256 |-|-|N/A |Europe 
Gabon |49,051 |70 |307 |48,674 |1,621,909 |132 |695,641 |-|-|-|Africa 
